po/sr-RS/editor/ui/chrome/dialogs/EditorImageMapHotSpot.dtd.po:	12 translated messages, 1 untranslated message.
po/sr-RS/editor/ui/chrome/dialogs/EditorFieldSetProperties.dtd.po:	9 translated messages.
po/sr-RS/editor/ui/chrome/dialogs/EditorInsertTable.dtd.po:	8 translated messages.
po/sr-RS/editor/ui/chrome/dialogs/EdConvertToTable.dtd.po:	9 translated messages.
po/sr-RS/editor/ui/chrome/dialogs/EditorTextAreaProperties.dtd.po:	17 translated messages.
po/sr-RS/editor/ui/chrome/dialogs/EditorPublish.dtd.po:	23 translated messages, 17 untranslated messages.
po/sr-RS/editor/ui/chrome/dialogs/EditorPublishProgress.dtd.po:	10 translated messages, 1 untranslated message.
po/sr-RS/editor/ui/chrome/dialogs/EditorInsertTOC.dtd.po:	13 translated messages.
po/sr-RS/editor/ui/chrome/dialogs/EditorHLineProperties.dtd.po:	9 translated messages, 3 untranslated messages.
po/sr-RS/editor/ui/chrome/dialogs/EditorLinkProperties.dtd.po:	2 translated messages.
po/sr-RS/editor/ui/chrome/dialogs/EditorSpellCheck.dtd.po:	16 translated messages, 2 untranslated messages.
po/sr-RS/editor/ui/chrome/dialogs/EdAdvancedEdit.dtd.po:	13 translated messages.
po/sr-RS/editor/ui/chrome/dialogs/EdColorPicker.dtd.po:	12 translated messages.
po/sr-RS/editor/ui/chrome/dialogs/EditorInputProperties.dtd.po:	29 translated messages, 1 untranslated message.
po/sr-RS/editor/ui/chrome/dialogs/EditorTableProperties.dtd.po:	57 translated messages, 1 untranslated message.
po/sr-RS/editor/ui/chrome/dialogs/EditorInsertSource.dtd.po:	5 translated messages.
po/sr-RS/editor/ui/chrome/dialogs/EditorPageProperties.dtd.po:	1 translated message, 8 untranslated messages.
po/sr-RS/editor/ui/chrome/dialogs/EditorImageMap.dtd.po:	40 translated messages.
po/sr-RS/editor/ui/chrome/dialogs/EdNamedAnchorProperties.dtd.po:	2 translated messages, 1 fuzzy translation.
po/sr-RS/editor/ui/chrome/dialogs/EditorPersonalDictionary.dtd.po:	7 translated messages.
po/sr-RS/editor/ui/chrome/dialogs/EditConflict.dtd.po:	5 translated messages.
po/sr-RS/editor/ui/chrome/dialogs/EditorSelectProperties.dtd.po:	21 translated messages.
po/sr-RS/editor/ui/chrome/dialogs/EditorImageProperties.dtd.po:	45 translated messages, 1 untranslated message.
po/sr-RS/editor/ui/chrome/dialogs/EditorInsertChars.dtd.po:	11 translated messages.
po/sr-RS/editor/ui/chrome/dialogs/EditorLabelProperties.dtd.po:	6 translated messages.
po/sr-RS/editor/ui/chrome/dialogs/EditorReplace.dtd.po:	11 translated messages, 1 untranslated message.
po/sr-RS/editor/ui/chrome/dialogs/EditorSaveAsCharset.dtd.po:	5 translated messages.
po/sr-RS/editor/ui/chrome/dialogs/EditorListProperties.dtd.po:	11 translated messages.
po/sr-RS/editor/ui/chrome/dialogs/EditorSnapToGrid.dtd.po:	4 translated messages.
po/sr-RS/browser/updater/updater.ini.po:	2 translated messages.
po/sr-RS/browser/crashreporter/crashreporter-override.ini.po:	2 translated messages.
po/sr-RS/browser/chrome/branding/brand.dtd.po:	po/sr-RS/browser/chrome/branding/brand.dtd.po:22: dubbele melding definitie...
po/sr-RS/browser/chrome/branding/brand.dtd.po:19: ...this is the location of the first definition
msgfmt: found 1 fatal error
po/sr-RS/browser/chrome/branding/brand.properties.po:	po/sr-RS/browser/chrome/branding/brand.properties.po:22: dubbele melding definitie...
po/sr-RS/browser/chrome/branding/brand.properties.po:19: ...this is the location of the first definition
msgfmt: found 1 fatal error
po/sr-RS/browser/chrome/browser-region/region.properties.po:	10 translated messages.
po/sr-RS/browser/chrome/help/platformStrings.dtd.po:	12 translated messages.
po/sr-RS/browser/chrome/browser/engineManager.dtd.po:	12 translated messages.
po/sr-RS/browser/chrome/browser/searchbar.dtd.po:	2 translated messages.
po/sr-RS/browser/chrome/browser/setDesktopBackground.dtd.po:	9 translated messages.
po/sr-RS/browser/chrome/browser/openLocation.dtd.po:	8 translated messages.
po/sr-RS/browser/chrome/browser/cookieviewer/CookieExceptions.dtd.po:	10 translated messages.
po/sr-RS/browser/chrome/browser/cookieviewer/CookieViewer.dtd.po:	14 translated messages.
po/sr-RS/browser/chrome/browser/cookieviewer/CookieViewer.properties.po:	5 translated messages.
po/sr-RS/browser/chrome/browser/aboutRobots.dtd.po:	10 translated messages.
po/sr-RS/browser/chrome/browser/search.properties.po:	12 translated messages.
po/sr-RS/browser/chrome/browser/aboutDialog.dtd.po:	po/sr-RS/browser/chrome/browser/aboutDialog.dtd.po:45: `msgid' en `msgstr' ingangen eindigen niet allebei met '
'
msgfmt: found 1 fatal error
7 translated messages.
po/sr-RS/browser/chrome/browser/openLocation.properties.po:	1 translated message.
po/sr-RS/browser/chrome/browser/tabbrowser.dtd.po:	10 translated messages.
po/sr-RS/browser/chrome/browser/browser.dtd.po:	182 translated messages.
po/sr-RS/browser/chrome/browser/history/history.dtd.po:	14 translated messages.
po/sr-RS/browser/chrome/browser/sanitize.dtd.po:	9 translated messages.
po/sr-RS/browser/chrome/browser/bookmarks/bookmarks.properties.po:	103 translated messages.
po/sr-RS/browser/chrome/browser/bookmarks/addBookmark.dtd.po:	18 translated messages.
po/sr-RS/browser/chrome/browser/bookmarks/bookmarksProperties.dtd.po:	9 translated messages.
po/sr-RS/browser/chrome/browser/bookmarks/bookmarks.dtd.po:	41 translated messages.
po/sr-RS/browser/chrome/browser/migration/migration.dtd.po:	28 translated messages.
po/sr-RS/browser/chrome/browser/migration/migration.properties.po:	30 translated messages.
po/sr-RS/browser/chrome/browser/credits.dtd.po:	po/sr-RS/browser/chrome/browser/credits.dtd.po:41: `msgid' en `msgstr' ingangen eindigen niet allebei met '
'
msgfmt: found 1 fatal error
7 translated messages.
po/sr-RS/browser/chrome/browser/page-drawer.dtd.po:	2 translated messages.
po/sr-RS/browser/chrome/browser/metaData.dtd.po:	25 translated messages.
po/sr-RS/browser/chrome/browser/sidebar/sidebar.properties.po:	2 translated messages.
po/sr-RS/browser/chrome/browser/pageReport.dtd.po:	4 translated messages.
po/sr-RS/browser/chrome/browser/feeds/subscribe.dtd.po:	3 translated messages.
po/sr-RS/browser/chrome/browser/feeds/addFeedReader.dtd.po:	4 translated messages.
po/sr-RS/browser/chrome/browser/feeds/subscribe.properties.po:	31 translated messages.
po/sr-RS/browser/chrome/browser/pageInfo.dtd.po:	69 translated messages.
po/sr-RS/browser/chrome/browser/preferences/content.dtd.po:	15 translated messages.
po/sr-RS/browser/chrome/browser/preferences/preferences.dtd.po:	12 translated messages.
po/sr-RS/browser/chrome/browser/preferences/preferences.properties.po:	66 translated messages.
po/sr-RS/browser/chrome/browser/preferences/tabs.dtd.po:	7 translated messages.
po/sr-RS/browser/chrome/browser/preferences/changeaction.dtd.po:	12 translated messages.
po/sr-RS/browser/chrome/browser/preferences/downloadactions.dtd.po:	16 translated messages.
po/sr-RS/browser/chrome/browser/preferences/fallbackEULA.dtd.po:	1 translated message.
po/sr-RS/browser/chrome/browser/preferences/applications.dtd.po:	6 translated messages.
po/sr-RS/browser/chrome/browser/preferences/sanitize.dtd.po:	9 translated messages.
po/sr-RS/browser/chrome/browser/preferences/colors.dtd.po:	12 translated messages.
po/sr-RS/browser/chrome/browser/preferences/advanced.dtd.po:	43 translated messages.
po/sr-RS/browser/chrome/browser/preferences/phishEULA.dtd.po:	7 translated messages.
po/sr-RS/browser/chrome/browser/preferences/advanced-scripts.dtd.po:	9 translated messages.
po/sr-RS/browser/chrome/browser/preferences/feeds.dtd.po:	5 translated messages.
po/sr-RS/browser/chrome/browser/preferences/languages.dtd.po:	9 translated messages.
po/sr-RS/browser/chrome/browser/preferences/security.dtd.po:	13 translated messages.
po/sr-RS/browser/chrome/browser/preferences/securityWarnings.dtd.po:	7 translated messages.
po/sr-RS/browser/chrome/browser/preferences/cookies.dtd.po:	19 translated messages.
po/sr-RS/browser/chrome/browser/preferences/feeds.properties.po:	1 translated message.
po/sr-RS/browser/chrome/browser/preferences/connection.dtd.po:	25 translated messages, 1 untranslated message.
po/sr-RS/browser/chrome/browser/preferences/selectBookmark.dtd.po:	2 translated messages.
po/sr-RS/browser/chrome/browser/preferences/fonts.dtd.po:	46 translated messages.
po/sr-RS/browser/chrome/browser/preferences/applicationManager.properties.po:	6 translated messages.
po/sr-RS/browser/chrome/browser/preferences/applicationManager.dtd.po:	3 translated messages.
po/sr-RS/browser/chrome/browser/preferences/permissions.dtd.po:	12 translated messages.
po/sr-RS/browser/chrome/browser/preferences/privacy.dtd.po:	20 translated messages.
po/sr-RS/browser/chrome/browser/preferences/main.dtd.po:	21 translated messages.
po/sr-RS/browser/chrome/browser/baseMenuOverlay.dtd.po:	25 translated messages.
po/sr-RS/browser/chrome/browser/browser.properties.po:	84 translated messages.
po/sr-RS/browser/chrome/browser/sessionstore.properties.po:	4 translated messages.
po/sr-RS/browser/chrome/browser/engineManager.properties.po:	5 translated messages.
po/sr-RS/browser/chrome/browser/places/bookmarkProperties.properties.po:	12 translated messages.
po/sr-RS/browser/chrome/browser/places/bookmarkProperties.dtd.po:	12 translated messages.
po/sr-RS/browser/chrome/browser/places/moveBookmarks.dtd.po:	4 translated messages.
po/sr-RS/browser/chrome/browser/places/places.dtd.po:	0 translated messages, 125 untranslated messages.
po/sr-RS/browser/chrome/browser/places/places.properties.po:	0 translated messages, 74 untranslated messages.
po/sr-RS/browser/chrome/browser/places/editBookmarkOverlay.dtd.po:	0 translated messages, 15 untranslated messages.
po/sr-RS/browser/chrome/browser/tabbrowser.properties.po:	10 translated messages.
po/sr-RS/browser/chrome/browser/metaData.properties.po:	16 translated messages.
po/sr-RS/browser/chrome/browser/pageInfo.properties.po:	38 translated messages.
po/sr-RS/browser/chrome/browser/safeMode.dtd.po:	11 translated messages.
po/sr-RS/browser/chrome/browser/safebrowsing/phishing-afterload-warning-message.dtd.po:	20 translated messages.
po/sr-RS/browser/chrome/browser/safebrowsing/blockedSite.properties.po:	6 translated messages.
po/sr-RS/browser/chrome/browser/safebrowsing/report-phishing.dtd.po:	2 translated messages.
po/sr-RS/browser/chrome/browser/quitDialog.properties.po:	10 translated messages.
po/sr-RS/browser/chrome/browser/pageReportFirstTime.dtd.po:	4 translated messages.
